break_value,accel_value,speed,timestamp
0.0,0.0,40.0,2024-04-12 07:48:44.227087+00:00
0.0,0.0,39.0,2024-04-12 07:48:45.330526+00:00
0.0,0.0,38.0,2024-04-12 07:48:46.252947+00:00
0.0,0.0,38.0,2024-04-12 07:48:47.279704+00:00
0.0,0.0,38.0,2024-04-12 07:48:48.301800+00:00
94.0,0.0,38.0,2024-04-12 07:48:49.322870+00:00
49.0,0.0,38.0,2024-04-12 07:48:50.350869+00:00
49.0,0.0,39.0,2024-04-12 07:48:52.427177+00:00
99.0,129.0,41.0,2024-04-12 07:48:53.423352+00:00
0.0,129.0,41.0,2024-04-12 07:48:54.443496+00:00
80.0,114.0,43.0,2024-04-12 07:48:55.477350+00:00
32.0,0.0,44.0,2024-04-12 07:48:56.490107+00:00
0.0,80.0,44.0,2024-04-12 07:48:57.527375+00:00
54.0,0.0,44.0,2024-04-12 07:48:58.650922+00:00
96.0,0.0,44.0,2024-04-12 07:48:59.569210+00:00
0.0,0.0,45.0,2024-04-12 07:49:00.590137+00:00
109.0,0.0,48.0,2024-04-12 07:49:01.405811+00:00
75.0,0.0,48.0,2024-04-12 07:49:02.436787+00:00
0.0,0.0,50.0,2024-04-12 07:49:03.458671+00:00
115.0,0.0,52.0,2024-04-12 07:49:04.473549+00:00
144.0,0.0,52.0,2024-04-12 07:49:05.502742+00:00
0.0,0.0,52.0,2024-04-12 07:49:06.525220+00:00
60.0,0.0,52.0,2024-04-12 07:49:07.554133+00:00
66.0,0.0,52.0,2024-04-12 07:49:08.588448+00:00
0.0,0.0,52.0,2024-04-12 07:49:09.393174+00:00
134.0,57.0,52.0,2024-04-12 07:49:10.421480+00:00
97.0,0.0,52.0,2024-04-12 07:49:11.455042+00:00
0.0,95.0,52.0,2024-04-12 07:49:12.461956+00:00
129.0,107.0,52.0,2024-04-12 07:49:13.489016+00:00
154.0,0.0,52.0,2024-04-12 07:49:14.513920+00:00
0.0,111.0,53.0,2024-04-12 07:49:15.373944+00:00
131.0,123.0,53.0,2024-04-12 07:49:16.660335+00:00
143.0,0.0,53.0,2024-04-12 07:49:17.583724+00:00
0.0,122.0,53.0,2024-04-12 07:49:18.403053+00:00
76.0,98.0,53.0,2024-04-12 07:49:19.477021+00:00
