accel_value,speed,timestamp
0,59,2024-04-12 07:44:29.328719+00:00
0,59,2024-04-12 07:44:30.251620+00:00
0,56,2024-04-12 07:44:31.270899+00:00
0,50,2024-04-12 07:44:32.303396+00:00
0,50,2024-04-12 07:44:33.321209+00:00
0,43,2024-04-12 07:44:34.349615+00:00
0,35,2024-04-12 07:44:35.372774+00:00
0,35,2024-04-12 07:44:36.397620+00:00
0,27,2024-04-12 07:44:37.419569+00:00
0,19,2024-04-12 07:44:38.379603+00:00
0,19,2024-04-12 07:44:39.266860+00:00
0,12,2024-04-12 07:44:40.289187+00:00
0,8,2024-04-12 07:44:41.325388+00:00
0,8,2024-04-12 07:44:42.338794+00:00
0,5,2024-04-12 07:44:43.231197+00:00
0,5,2024-04-12 07:44:44.229279+00:00
0,5,2024-04-12 07:44:45.305216+00:00
0,3,2024-04-12 07:44:46.327048+00:00
0,3,2024-04-12 07:44:47.250141+00:00
0,3,2024-04-12 07:44:48.274332+00:00
0,2,2024-04-12 07:44:49.401997+00:00
0,3,2024-04-12 07:44:50.414671+00:00
0,3,2024-04-12 07:44:51.243749+00:00
0,3,2024-04-12 07:44:52.271009+00:00
0,2,2024-04-12 07:44:53.288372+00:00
0,2,2024-04-12 07:44:54.313437+00:00
0,2,2024-04-12 07:44:55.338487+00:00
0,2,2024-04-12 07:44:56.315431+00:00
0,2,2024-04-12 07:44:57.291997+00:00
0,1,2024-04-12 07:44:58.301563+00:00
0,1,2024-04-12 07:44:59.333934+00:00
0,1,2024-04-12 07:45:00.359479+00:00
0,1,2024-04-12 07:45:01.389634+00:00
0,1,2024-04-12 07:45:02.409550+00:00
0,1,2024-04-12 07:45:03.326870+00:00
0,1,2024-04-12 07:45:04.247115+00:00
0,0,2024-04-12 07:45:05.375876+00:00
0,0,2024-04-12 07:45:06.297532+00:00
0,0,2024-04-12 07:45:07.425224+00:00
0,0,2024-04-12 07:45:08.241744+00:00
0,0,2024-04-12 07:45:09.269529+00:00
0,0,2024-04-12 07:45:10.287954+00:00
0,0,2024-04-12 07:45:11.233493+00:00
0,0,2024-04-12 07:45:12.490552+00:00
0,0,2024-04-12 07:45:13.242305+00:00
0,0,2024-04-12 07:45:14.283658+00:00
0,0,2024-04-12 07:45:15.304394+00:00
